Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene107	LOC100714330	NT_175462_1	+	32513	33594	0.183919	228.810562	482.815125
STRG.9	-	NT_175462_1	+	32513	33594	0.183919	228.810562	482.815125
gene116	LOC100717127	NT_175492_1	+	1185	5080	57.880360	71648.031250	151185.140625
STRG.10	-	NT_175492_1	+	1535	2301	4.608866	5705.150879	12038.488281
STRG.11	-	NT_175492_1	+	2596	3128	3.861163	4779.595703	10085.466797
STRG.12	-	NT_175492_1	+	3842	6055	81.384369	100742.796875	212578.265625
STRG.13	-	NT_175492_1	.	6182	6819	189.294678	234321.109375	494443.031250
gene123	LOC101788066	NT_175499_1	+	6288	36257	0.066088	81.807976	172.623718
gene124	LOC101788096	NT_175500_1	-	8872	20536	0.000000	0.000000	0.000000
gene127	LOC100719074	NT_175518_1	-	2539	35028	0.000000	0.000000	0.000000
gene131	LOC101788353	NT_175548_1	-	4832	22737	0.096397	119.326401	251.791687
gene135	LOC101788455	NT_175569_1	-	13264	31241	0.115741	143.271652	302.318756
gene145	LOC101788770	NT_175628_1	+	17477	30409	0.000000	0.000000	0.000000
gene150	C3	NT_175652_1	-	43920	58099	2.158065	2671.391846	5636.926758
STRG.14	-	NT_175652_1	-	43928	48227	4.103896	5080.066406	10719.493164
gene154	LOC100726423	NT_175687_1	-	42991	68311	0.000000	0.000000	0.000000
gene156	LOC101789106	NT_175704_1	-	27977	41525	0.220065	272.410583	574.815979
gene157	LOC101789126	NT_175704_1	-	45668	57420	0.000000	0.000000	0.000000
gene168	LOC101787056	NT_175731_1	+	63280	84633	0.254386	314.895355	664.463440
gene176	LOC101787291	NT_175737_1	+	1544	15885	0.014496	17.944080	37.863960
gene184	LOC101787450	NT_175750_1	+	37034	55250	0.000000	0.000000	0.000000
gene185	Slc5a9	NT_175751_1	-	5100	36971	0.000000	0.000000	0.000000
gene186	LOC100734190	NT_175755_1	-	20267	30896	0.118411	146.576752	309.292877
gene192	Vav1	NT_175766_1	-	237	37236	0.000000	0.000000	0.000000
gene195	Gpr108	NT_175766_1	+	61374	67957	0.000000	0.000000	0.000000
gene196	C3	NT_175766_1	+	74592	75844	1.591837	1970.478271	4157.923340
STRG.15	-	NT_175766_1	+	74592	75844	1.591837	1970.478271	4157.923340
gene198	LOC101788067	NT_175773_1	+	12080	43616	0.000000	0.000000	0.000000
gene199	LOC101788087	NT_175805_1	-	881	80323	0.109057	134.997772	284.859955
gene200	LOC100715171	NT_175815_1	+	31456	60331	0.168197	208.205063	439.335327
gene207	LOC100716572	NT_175821_1	-	84469	93265	0.000000	0.000000	0.000000
gene209	LOC100716854	NT_175825_1	+	80226	81003	0.625964	776.449158	1638.392090
STRG.16	-	NT_175825_1	+	80226	81003	0.625964	776.449158	1638.392090
gene211	LOC101788499	NT_175830_1	-	54969	75781	0.000000	0.000000	0.000000
gene212	LOC100717404	NT_175830_1	-	77927	78792	2.109278	2610.999756	5509.493652
STRG.17	-	NT_175830_1	-	77967	78359	2.603053	3225.376709	6805.895508
gene219	Timm13	NT_175833_1	-	67657	68904	0.000000	0.000000	0.000000
gene220	LOC100720465	NT_175833_1	-	68718	99315	0.030193	37.374836	78.864967
gene221	LOC100721009	NT_175841_1	-	32363	111486	0.000000	0.000000	0.000000
gene222	LOC100721277	NT_175845_1	+	592	18597	0.184619	228.533249	482.230042
gene223	LOC101788875	NT_175847_1	-	78046	94927	0.068614	84.934822	179.221710
gene224	LOC101788942	NT_175860_1	+	3707	51085	0.015524	19.216604	40.549126
gene225	LOC101788972	NT_175860_1	+	51193	64012	0.000000	0.000000	0.000000
gene227	LOC100723207	NT_175860_1	+	119355	126622	0.000000	0.000000	0.000000
gene229	LOC100724878	NT_175864_1	-	8361	44612	0.000000	0.000000	0.000000
gene238	Yme1l1	NT_175881_1	-	8847	44301	0.093268	115.453125	243.618652
gene240	Acbd5	NT_175881_1	-	106665	134961	0.154368	191.086639	403.213562
gene241	LOC101787108	NT_175882_1	+	445	6584	0.031250	38.683258	81.625885
STRG.18	-	NT_175882_1	+	2422	4026	38.769054	47991.597656	101267.484375
gene242	LOC100728456	NT_175882_1	-	26606	44503	0.115741	143.271652	302.318756
gene248	LOC101787229	NT_175897_1	+	41378	73073	0.000000	0.000000	0.000000
gene255	Kdm4b	NT_175908_1	-	61942	128442	0.000000	0.000000	0.000000
gene258	Lrg1	NT_175910_1	+	49934	52331	0.106711	132.093735	278.732147
gene266	LOC101787850	NT_175915_1	+	41	62208	0.000000	0.000000	0.000000
gene267	LOC101788043	NT_175920_1	+	757	3526	0.132780	164.363617	346.825104
gene268	Pdcd7	NT_175920_1	+	7594	14823	0.087014	107.711525	227.283020
gene272	LOC100714430	NT_175920_1	-	63476	109227	0.000000	0.000000	0.000000
gene273	LOC100715543	NT_175920_1	+	120968	140066	0.312025	386.244629	815.018127
gene275	LOC100716399	NT_175928_1	-	6298	91459	0.084189	104.214554	219.904037
gene278	LOC101788287	NT_175929_1	+	7380	11543	0.000000	0.000000	0.000000
gene288	LOC100718341	NT_175934_1	-	9009	25825	0.000000	0.000000	0.000000
gene290	LOC100719167	NT_175934_1	+	121895	147614	0.000000	0.000000	0.000000
gene292	LOC100719725	NT_175940_1	-	98495	119914	0.000000	0.000000	0.000000
gene297	LOC101788736	NT_175949_1	-	44115	83597	0.000000	0.000000	0.000000
gene298	LOC100722197	NT_175952_1	+	569	44651	0.013253	16.405415	34.617210
gene299	LOC100722476	NT_175952_1	+	90731	107723	0.009945	12.310560	25.976622
gene307	LOC100724132	NT_175961_1	-	139656	140949	0.518547	642.847656	1356.478516
STRG.19	-	NT_175961_1	-	139656	140949	0.518547	642.847656	1356.478516
gene308	LOC100724412	NT_175964_1	+	88042	126671	0.000000	0.000000	0.000000
gene310	LOC100725506	NT_175978_1	+	1394	86423	0.012675	15.689930	33.107456
gene316	LOC100726875	NT_175986_1	+	88982	182509	0.000000	0.000000	0.000000
gene319	LOC100727715	NT_175987_1	+	113161	206330	0.000000	0.000000	0.000000
gene320	LOC100727992	NT_175991_1	-	127109	128429	0.362604	449.791595	949.109192
STRG.20	-	NT_175991_1	-	127109	128429	0.362604	449.791595	949.109192
gene322	LOC100728277	NT_175993_1	+	9211	12287	0.124183	153.721695	324.369507
gene323	LOC100728561	NT_175993_1	+	45624	61936	0.085911	106.346161	224.401962
gene324	LOC100728840	NT_175993_1	+	86977	88992	0.119949	148.480576	313.310181
gene325	LOC100729121	NT_175993_1	+	110442	113508	0.064777	80.185135	169.199356
gene329	LOC101787433	NT_175995_1	+	51380	88605	0.000000	0.000000	0.000000
gene334	LOC100731051	NT_175997_1	+	775	21991	0.000000	0.000000	0.000000
gene344	LOC101787794	NT_176003_1	+	182246	213621	0.000000	0.000000	0.000000
gene350	LOC101788008	NT_176012_1	+	23728	32039	0.000000	0.000000	0.000000
gene351	LOC100714246	NT_176012_1	-	77495	190937	0.000000	0.000000	0.000000
gene354	Gna11	NT_176013_1	-	19564	23845	0.190019	235.217728	496.334991
gene357	Tle2	NT_176013_1	+	62895	80183	0.000000	0.000000	0.000000
gene361	Fzr1	NT_176013_1	+	136269	152365	0.000000	0.000000	0.000000
gene371	LOC101788719	NT_176016_1	-	130	180737	0.000000	0.000000	0.000000
gene386	LOC101789154	NT_176022_1	+	186227	234021	0.000000	0.000000	0.000000
gene388	Cyp4a13	NT_176025_1	+	99219	108729	0.206415	255.513748	539.161804
gene389	LOC100724234	NT_176025_1	-	112707	127326	0.000000	0.000000	0.000000
gene390	LOC100724508	NT_176025_1	-	145584	157381	0.000000	0.000000	0.000000
gene396	LOC100725062	NT_176029_1	-	101531	138906	0.000000	0.000000	0.000000
gene404	LOC101787317	NT_176033_1	-	192642	224931	0.000000	0.000000	0.000000
gene407	LOC101787424	NT_176036_1	-	87597	150163	0.000000	0.000000	0.000000
gene416	LOC101787614	NT_176044_1	-	332705	372177	0.000000	0.000000	0.000000
gene417	LOC100731137	NT_176046_1	+	72168	86072	0.000000	0.000000	0.000000
gene424	LOC101787859	NT_176048_1	+	131853	188822	0.000000	0.000000	0.000000
gene428	Abhd17a	NT_176050_1	-	52399	59368	0.143162	177.215134	373.943176
gene440	Oaz1	NT_176050_1	+	297225	300057	0.183729	227.431564	479.905334
gene445	LOC100716855	NT_176051_1	+	63819	69937	0.055808	69.082733	145.772064
gene446	Eif3g	NT_176051_1	-	70002	73753	0.167870	207.800278	438.481171
gene455	Raver1	NT_176051_1	-	195439	208421	0.083682	103.586960	218.579742
gene458	Cdc37	NT_176051_1	-	238781	247124	0.113609	140.632523	296.749908
gene462	LOC101789107	NT_176059_1	+	8028	139750	0.000000	0.000000	0.000000
gene479	R3hdm4	NT_176063_1	-	209731	220081	0.140803	174.294998	367.781403
gene480	Kiss1r	NT_176063_1	+	220080	222919	0.000000	0.000000	0.000000
gene2	LOC101787065	NT_173541_1	+	358	2622	0.0	0.0	0.0
gene4	LOC100713772	NT_173667_1	+	4526	5456	0.0	0.0	0.0
gene5	LOC101787141	NT_173691_1	+	1879	3019	0.0	0.0	0.0
gene6	LOC101787169	NT_173725_1	+	1332	5505	0.0	0.0	0.0
gene7	LOC100714329	NT_173867_1	+	4993	6117	0.0	0.0	0.0
gene8	LOC101787223	NT_173874_1	+	5	3937	0.0	0.0	0.0
gene9	LOC101787252	NT_173927_1	+	995	5604	0.0	0.0	0.0
gene10	LOC101787283	NT_173986_1	+	2636	4999	0.0	0.0	0.0
gene11	LOC100714605	NT_174004_1	+	471	4415	0.0	0.0	0.0
gene12	LOC101787336	NT_174044_1	+	533	1994	0.0	0.0	0.0
gene13	LOC100714883	NT_174124_1	+	2807	3808	0.0	0.0	0.0
gene14	LOC100715169	NT_174132_1	-	3229	5878	0.0	0.0	0.0
gene15	LOC100715447	NT_174212_1	+	284	580	0.0	0.0	0.0
gene16	LOC100715730	NT_174212_1	+	7065	7433	0.0	0.0	0.0
gene17	LOC101787455	NT_174218_1	-	2604	7861	0.0	0.0	0.0
gene18	LOC100716293	NT_174243_1	+	303	7360	0.0	0.0	0.0
gene19	LOC101787493	NT_174266_1	+	45	4997	0.0	0.0	0.0
gene20	LOC100717125	NT_174313_1	+	1420	2508	0.0	0.0	0.0
gene22	LOC100717496	NT_174345_1	+	2574	3697	0.0	0.0	0.0
gene23	LOC100717773	NT_174353_1	-	6953	7603	0.0	0.0	0.0
gene24	LOC100718059	NT_174355_1	-	1920	7144	0.0	0.0	0.0
gene25	LOC100718339	NT_174377_1	-	7348	8159	0.0	0.0	0.0
gene26	LOC101787680	NT_174482_1	-	1659	3394	0.0	0.0	0.0
gene27	LOC100718889	NT_174537_1	-	1200	6174	0.0	0.0	0.0
gene28	LOC101787742	NT_174576_1	+	119	9448	0.0	0.0	0.0
gene29	Arse	NT_174581_1	-	75	9547	0.0	0.0	0.0
gene30	LOC101787793	NT_174607_1	+	8645	9433	0.0	0.0	0.0
gene31	LOC100719724	NT_174611_1	+	3887	5164	0.0	0.0	0.0
gene32	LOC100720002	NT_174630_1	+	1053	10587	0.0	0.0	0.0
gene33	LOC101787882	NT_174638_1	+	983	4939	0.0	0.0	0.0
gene34	LOC101787918	NT_174643_1	-	2797	7175	0.0	0.0	0.0
gene35	LOC100720278	NT_174645_1	-	4980	6244	0.0	0.0	0.0
gene36	LOC100720553	NT_174682_1	+	10060	11133	0.0	0.0	0.0
gene37	Cavporv1r688	NT_174702_1	+	6224	7147	0.0	0.0	0.0
gene38	LOC101788020	NT_174733_1	+	6739	10009	0.0	0.0	0.0
gene40	LOC101788078	NT_174755_1	-	1831	5127	0.0	0.0	0.0
gene41	LOC101788107	NT_174795_1	-	1233	12174	0.0	0.0	0.0
gene42	LOC100721923	NT_174797_1	+	21	591	0.0	0.0	0.0
gene43	LOC100722196	NT_174799_1	-	6310	7434	0.0	0.0	0.0
gene44	LOC101788190	NT_174810_1	+	8	1109	0.0	0.0	0.0
gene45	Shc2	NT_174827_1	-	1367	11035	0.0	0.0	0.0
gene46	LOC101788255	NT_174864_1	+	7943	11169	0.0	0.0	0.0
gene47	LOC101788314	NT_174875_1	-	5937	7879	0.0	0.0	0.0
gene48	LOC100723854	NT_174897_1	-	2393	2860	0.0	0.0	0.0
gene49	LOC101788369	NT_174915_1	+	4460	11630	0.0	0.0	0.0
gene52	Cavporv1r687	NT_174972_1	+	10664	11572	0.0	0.0	0.0
gene53	Ifggb3	NT_174980_1	-	5605	6934	0.0	0.0	0.0
gene54	LOC100725504	NT_174991_1	-	10792	13740	0.0	0.0	0.0
gene55	LOC101788533	NT_175014_1	-	1197	13694	0.0	0.0	0.0
gene56	LOC100726048	NT_175048_1	-	10909	13976	0.0	0.0	0.0
gene59	LOC100727149	NT_175094_1	+	9574	10933	0.0	0.0	0.0
gene60	LOC100727430	NT_175111_1	-	966	17546	0.0	0.0	0.0
gene61	LOC101788709	NT_175122_1	-	12854	15922	0.0	0.0	0.0
gene62	LOC101788724	NT_175135_1	-	16946	17866	0.0	0.0	0.0
gene64	LOC100728274	NT_175138_1	+	6127	12893	0.0	0.0	0.0
gene63	LOC100727989	NT_175138_1	-	4886	6071	0.0	0.0	0.0
gene65	LOC100728559	NT_175140_1	-	127	18015	0.0	0.0	0.0
gene67	LOC101788841	NT_175144_1	+	9886	18657	0.0	0.0	0.0
gene69	LOC100729119	NT_175188_1	-	12662	13750	0.0	0.0	0.0
gene68	LOC100728838	NT_175188_1	-	3913	5001	0.0	0.0	0.0
gene70	LOC101788917	NT_175222_1	+	14511	14682	0.0	0.0	0.0
gene71	LOC100729396	NT_175235_1	-	7758	10827	0.0	0.0	0.0
gene73	LOC100729676	NT_175263_1	-	215	21293	0.0	0.0	0.0
gene74	LOC100729946	NT_175287_1	-	1177	21133	0.0	0.0	0.0
gene76	LOC101789073	NT_175297_1	-	16323	20087	0.0	0.0	0.0
gene77	LOC100730221	NT_175302_1	-	14437	20833	0.0	0.0	0.0
gene78	LOC101789142	NT_175306_1	-	7113	8116	0.0	0.0	0.0
gene80	LOC100730496	NT_175314_1	+	7328	8057	0.0	0.0	0.0
gene81	LOC101789213	NT_175314_1	-	10092	18153	0.0	0.0	0.0
gene82	Cavporv1r686	NT_175320_1	+	11357	12358	0.0	0.0	0.0
gene84	LOC101787011	NT_175321_1	+	34212	42251	0.0	0.0	0.0
gene83	LOC101789350	NT_175321_1	+	3328	3647	0.0	0.0	0.0
gene86	LOC101787067	NT_175328_1	+	3870	20761	0.0	0.0	0.0
gene87	LOC100731599	NT_175329_1	+	4160	23819	0.0	0.0	0.0
gene89	LOC101787122	NT_175350_1	-	17501	22070	0.0	0.0	0.0
gene91	Ncln	NT_175373_1	-	398	11971	0.0	0.0	0.0
gene92	LOC100732697	NT_175373_1	-	23299	26817	0.0	0.0	0.0
gene93	LOC100733262	NT_175374_1	+	17478	18388	0.0	0.0	0.0
gene94	LOC100733544	NT_175385_1	-	12942	25689	0.0	0.0	0.0
gene95	LOC100733824	NT_175395_1	-	23117	26733	0.0	0.0	0.0
gene96	LOC100734101	NT_175397_1	-	41731	42819	0.0	0.0	0.0
gene97	LOC100734384	NT_175397_1	-	50513	51601	0.0	0.0	0.0
gene98	LOC100734663	NT_175399_1	-	5019	8592	0.0	0.0	0.0
gene99	LOC100734938	NT_175399_1	+	11164	12414	0.0	0.0	0.0
gene100	LOC101787438	NT_175411_1	+	10479	15614	0.0	0.0	0.0
gene102	LOC101787483	NT_175447_1	-	22822	36972	0.0	0.0	0.0
gene104	LOC100713773	NT_175451_1	+	24530	25786	0.0	0.0	0.0
gene103	LOC100713495	NT_175451_1	-	18486	21938	0.0	0.0	0.0
gene105	LOC101787559	NT_175452_1	+	30127	31465	0.0	0.0	0.0
gene108	LOC100714606	NT_175469_1	-	5061	24945	0.0	0.0	0.0
gene109	LOC100714884	NT_175479_1	+	16631	17395	0.0	0.0	0.0
gene110	LOC101787691	NT_175480_1	-	15997	23160	0.0	0.0	0.0
gene111	LOC100715170	NT_175480_1	-	27486	36808	0.0	0.0	0.0
gene112	LOC100715448	NT_175482_1	+	6984	17011	0.0	0.0	0.0
gene113	LOC100715731	NT_175488_1	+	9009	11047	0.0	0.0	0.0
gene115	LOC100716487	NT_175489_1	+	31035	31895	0.0	0.0	0.0
gene114	LOC100716013	NT_175489_1	+	15593	16534	0.0	0.0	0.0
gene118	LOC100717683	NT_175493_1	-	11156	12277	0.0	0.0	0.0
gene120	LOC100718245	NT_175493_1	-	28563	29651	0.0	0.0	0.0
gene119	LOC100717964	NT_175493_1	-	19912	20925	0.0	0.0	0.0
gene117	LOC100717403	NT_175493_1	-	2385	3473	0.0	0.0	0.0
gene122	Muc5ac	NT_175498_1	-	28384	34810	0.0	0.0	0.0
gene121	Muc5b	NT_175498_1	-	245	15290	0.0	0.0	0.0
gene125	Celf5	NT_175507_1	+	8	12244	0.0	0.0	0.0
gene126	LOC101788211	NT_175509_1	+	19318	37609	0.0	0.0	0.0
gene128	LOC100719356	NT_175519_1	+	18797	35300	0.0	0.0	0.0
gene130	LOC100719908	NT_175546_1	+	21724	26425	0.0	0.0	0.0
gene129	LOC101788305	NT_175546_1	-	4710	10929	0.0	0.0	0.0
gene132	LOC101788378	NT_175560_1	-	29171	40900	0.0	0.0	0.0
gene133	LOC100720181	NT_175568_1	-	28285	28804	0.0	0.0	0.0
gene134	LOC100720463	NT_175568_1	+	30215	31683	0.0	0.0	0.0
gene136	LOC100720738	NT_175569_1	-	51908	54092	0.0	0.0	0.0
gene138	LOC100721555	NT_175577_1	+	17035	18159	0.0	0.0	0.0
gene140	LOC100722105	NT_175577_1	+	35953	37041	0.0	0.0	0.0
gene139	LOC101788567	NT_175577_1	+	27860	28308	0.0	0.0	0.0
gene137	LOC100721276	NT_175577_1	+	8343	9431	0.0	0.0	0.0
gene141	LOC101788630	NT_175580_1	+	4451	7426	0.0	0.0	0.0
gene142	LOC100723482	NT_175614_1	+	33709	35583	0.0	0.0	0.0
gene144	Muc2	NT_175616_1	-	39319	46443	0.0	0.0	0.0
gene143	LOC100723760	NT_175616_1	-	7	13257	0.0	0.0	0.0
gene147	Muc6	NT_175633_1	+	38964	49160	0.0	0.0	0.0
gene146	Muc2	NT_175633_1	-	77	10863	0.0	0.0	0.0
gene148	LOC100724600	NT_175638_1	-	49	38218	0.0	0.0	0.0
gene149	Tnfsf14	NT_175652_1	-	35418	39929	0.0	0.0	0.0
gene151	LOC101788933	NT_175661_1	-	25801	30012	0.0	0.0	0.0
gene152	LOC100725873	NT_175677_1	-	9989	11113	0.0	0.0	0.0
gene153	LOC100726146	NT_175680_1	-	25155	40472	0.0	0.0	0.0
gene155	LOC100726976	NT_175697_1	+	3990	30949	0.0	0.0	0.0
gene158	LOC101789221	NT_175720_1	-	1829	10065	0.0	0.0	0.0
gene162	LOC101789205	NT_175720_1	+	64878	67677	0.0	0.0	0.0
gene160	LOC100727533	NT_175720_1	+	39511	40887	0.0	0.0	0.0
gene159	LOC100727258	NT_175720_1	-	23635	34591	0.0	0.0	0.0
gene161	LOC101789258	NT_175720_1	-	53174	63490	0.0	0.0	0.0
gene164	LOC100728084	NT_175722_1	+	37770	38665	0.0	0.0	0.0
gene165	LOC100728364	NT_175722_1	+	69539	76187	0.0	0.0	0.0
gene163	LOC100727807	NT_175722_1	+	17586	18496	0.0	0.0	0.0
gene166	LOC101789371	NT_175724_1	-	13429	18746	0.0	0.0	0.0
gene167	LOC100728918	NT_175727_1	-	27895	64943	0.0	0.0	0.0
gene170	Zfr2	NT_175732_1	+	17474	42158	0.0	0.0	0.0
gene169	Atcay	NT_175732_1	-	73	14552	0.0	0.0	0.0
gene173	Apba3	NT_175732_1	+	62489	66753	0.0	0.0	0.0
gene171	Matk	NT_175732_1	+	43500	56795	0.0	0.0	0.0
gene172	Mrpl54	NT_175732_1	-	59621	61511	0.0	0.0	0.0
gene174	LOC100730574	NT_175733_1	-	67997	69155	0.0	0.0	0.0
gene175	LOC100730850	NT_175735_1	-	38774	39898	0.0	0.0	0.0
gene177	LOC100731134	NT_175737_1	-	25822	59072	0.0	0.0	0.0
gene178	LOC100731409	NT_175738_1	+	3988	14629	0.0	0.0	0.0
gene180	LOC100731961	NT_175738_1	-	50232	50869	0.0	0.0	0.0
gene179	LOC100731680	NT_175738_1	-	34236	36170	0.0	0.0	0.0
gene181	LOC101787344	NT_175738_1	+	55947	56944	0.0	0.0	0.0
gene182	LOC100733349	NT_175750_1	-	10921	14499	0.0	0.0	0.0
gene183	LOC100733631	NT_175750_1	+	17067	28726	0.0	0.0	0.0
gene187	LOC101787607	NT_175757_1	+	20395	24384	0.0	0.0	0.0
gene190	Foxf1	NT_175760_1	-	38105	40835	0.0	0.0	0.0
gene189	Mthfsd	NT_175760_1	+	15167	29367	0.0	0.0	0.0
gene188	Foxc2	NT_175760_1	-	7033	8423	0.0	0.0	0.0
gene191	LOC100735584	NT_175763_1	+	45848	48526	0.0	0.0	0.0
gene193	Sh2d3a	NT_175766_1	+	38838	49337	0.0	0.0	0.0
gene194	Trip10	NT_175766_1	-	49842	59326	0.0	0.0	0.0
gene197	LOC101788032	NT_175769_1	+	52235	53177	0.0	0.0	0.0
gene201	LOC100715449	NT_175815_1	-	86356	93542	0.0	0.0	0.0
gene204	LOC101788342	NT_175818_1	+	20816	21285	0.0	0.0	0.0
gene202	LOC100715732	NT_175818_1	+	7980	8481	0.0	0.0	0.0
gene205	LOC100716294	NT_175818_1	+	67466	80173	0.0	0.0	0.0
gene203	LOC100716014	NT_175818_1	+	16291	20071	0.0	0.0	0.0
gene206	LOC101788191	NT_175818_1	+	80245	82811	0.0	0.0	0.0
gene208	LOC101788419	NT_175825_1	-	17557	59522	0.0	0.0	0.0
gene210	LOC100717128	NT_175827_1	+	7757	8393	0.0	0.0	0.0
gene213	LOC100718524	NT_175832_1	+	53347	54306	0.0	0.0	0.0
gene214	LOC100717965	NT_175832_1	+	61361	62300	0.0	0.0	0.0
gene215	Lingo3	NT_175833_1	-	5941	16408	0.0	0.0	0.0
gene218	Tmprss9	NT_175833_1	+	41851	67169	0.0	0.0	0.0
gene216	Lsm7	NT_175833_1	-	25227	29678	0.0	0.0	0.0
gene217	Sppl2b	NT_175833_1	+	29778	40077	0.0	0.0	0.0
gene226	LOC101788926	NT_175860_1	+	102635	118170	0.0	0.0	0.0
gene230	LOC100723762	NT_175864_1	+	55506	56477	0.0	0.0	0.0
gene235	LOC100724601	NT_175864_1	-	107387	108337	0.0	0.0	0.0
gene233	LOC100725148	NT_175864_1	+	82284	84640	0.0	0.0	0.0
gene231	LOC100724047	NT_175864_1	-	62299	63235	0.0	0.0	0.0
gene234	LOC100725683	NT_175864_1	+	93136	94083	0.0	0.0	0.0
gene228	LOC101789053	NT_175864_1	-	1129	1383	0.0	0.0	0.0
gene232	LOC100724325	NT_175864_1	+	76025	76708	0.0	0.0	0.0
gene236	LOC100726503	NT_175870_1	+	35326	51609	0.0	0.0	0.0
gene237	LOC101789322	NT_175874_1	-	48202	52611	0.0	0.0	0.0
gene239	Mastl	NT_175881_1	+	61853	80475	0.0	0.0	0.0
gene244	LOC100729011	NT_175882_1	+	69065	69665	0.0	0.0	0.0
gene243	LOC100728736	NT_175882_1	-	63080	64400	0.0	0.0	0.0
gene245	LOC100731500	NT_175896_1	+	24347	26954	0.0	0.0	0.0
gene246	LOC101787187	NT_175896_1	-	54692	96780	0.0	0.0	0.0
gene250	LOC101787254	NT_175897_1	-	93704	94537	0.0	0.0	0.0
gene249	LOC101787300	NT_175897_1	-	90659	92986	0.0	0.0	0.0
gene247	LOC101787273	NT_175897_1	+	13016	35581	0.0	0.0	0.0
gene251	LOC101787325	NT_175898_1	+	16068	24077	0.0	0.0	0.0
gene252	LOC100731775	NT_175898_1	+	39978	41035	0.0	0.0	0.0
gene253	LOC101787432	NT_175902_1	+	50179	53600	0.0	0.0	0.0
gene254	LOC100733446	NT_175908_1	+	3461	57483	0.0	0.0	0.0
gene256	LOC101787519	NT_175909_1	+	42871	48018	0.0	0.0	0.0
gene264	Sh3gl1	NT_175910_1	+	129066	152590	0.0	0.0	0.0
gene262	Ubxn6	NT_175910_1	+	93914	101944	0.0	0.0	0.0
gene260	Plin4	NT_175910_1	+	61613	71546	0.0	0.0	0.0
gene265	Mpnd	NT_175910_1	-	152750	158786	0.0	0.0	0.0
gene259	Plin5	NT_175910_1	+	53783	60005	0.0	0.0	0.0
gene263	Chaf1a	NT_175910_1	-	103594	126513	0.0	0.0	0.0
gene257	Sema6b	NT_175910_1	+	7421	47835	0.0	0.0	0.0
gene261	LOC100734288	NT_175910_1	-	72135	88971	0.0	0.0	0.0
gene270	LOC100713869	NT_175920_1	-	45412	46788	0.0	0.0	0.0
gene269	LOC100714979	NT_175920_1	+	20761	33083	0.0	0.0	0.0
gene271	LOC100714151	NT_175920_1	+	51701	62699	0.0	0.0	0.0
gene274	LOC101788164	NT_175925_1	-	58053	60198	0.0	0.0	0.0
gene276	LOC100716948	NT_175929_1	+	2007	2811	0.0	0.0	0.0
gene280	LOC100716673	NT_175929_1	+	49150	51875	0.0	0.0	0.0
gene279	LOC100717220	NT_175929_1	+	22814	23586	0.0	0.0	0.0
gene277	LOC101788256	NT_175929_1	+	4627	5768	0.0	0.0	0.0
gene281	LOC101788370	NT_175929_1	+	119584	122489	0.0	0.0	0.0
gene285	LOC100717775	NT_175931_1	-	55537	107215	0.0	0.0	0.0
gene286	LOC101788420	NT_175931_1	+	116813	135827	0.0	0.0	0.0
gene287	LOC101788469	NT_175932_1	+	130432	135579	0.0	0.0	0.0
gene289	LOC100718620	NT_175934_1	+	44589	52722	0.0	0.0	0.0
gene291	Arhgap20	NT_175938_1	+	37149	84580	0.0	0.0	0.0
